Antecedent,Consequent,Support,Confidence,Lift
"Nitrogen_Low, Temperature_High",Humidity_Low,0.0664,0.5,1.5152
"Humidity_Low, Nitrogen_Med",Rainfall_Med,0.0682,0.5,1.5152
"Phosphorus_Low, Rainfall_High",Temperature_Med,0.0641,0.5,1.5152
"Potassium_Low, pH_Value_Low",Phosphorus_High,0.0536,0.5086,1.508
"Rainfall_Med, Temperature_Med",Potassium_Low,0.0405,0.5329,1.4993
"Rainfall_Low, pH_Value_High",Temperature_High,0.065,0.5089,1.4968
"Rainfall_Low, pH_Value_Med",Nitrogen_High,0.0686,0.5067,1.4963
Potassium_High,Humidity_High,0.1673,0.5083,1.495
"Humidity_Med, Potassium_Low",pH_Value_High,0.0577,0.506,1.4882
"Nitrogen_Med, Potassium_High",Humidity_High,0.0618,0.5056,1.487
"Phosphorus_High, pH_Value_High",Potassium_Low,0.0482,0.5274,1.4836
"Phosphorus_Med, pH_Value_Med",Nitrogen_High,0.0509,0.5022,1.4831
"Humidity_Med, Rainfall_Low",Phosphorus_High,0.0595,0.5,1.4825
"Rainfall_Low, pH_Value_Med",Temperature_High,0.0682,0.5034,1.4805
"Nitrogen_Low, pH_Value_Med",Humidity_High,0.0445,0.5026,1.4781
"Phosphorus_Med, pH_Value_Med",Potassium_Low,0.0532,0.5247,1.476
"Nitrogen_High, Potassium_Med",pH_Value_High,0.0618,0.5018,1.476
"Nitrogen_High, Phosphorus_Med",Rainfall_High,0.0709,0.5016,1.4753
"Nitrogen_Low, Potassium_Med",Temperature_High,0.0545,0.5,1.4706
Phosphorus_Med,Potassium_Low,0.1668,0.5176,1.4562
"Humidity_Low, Temperature_Low",Potassium_Low,0.0682,0.5172,1.4552
"Nitrogen_Low, Temperature_High",Potassium_Low,0.0686,0.5171,1.4548
Humidity_Low,Potassium_Low,0.1705,0.5165,1.4532
"Humidity_Low, Temperature_High",Potassium_Low,0.0632,0.5148,1.4483
"Humidity_Low, Nitrogen_Med",Potassium_Low,0.07,0.5133,1.4442
"Humidity_Med, Rainfall_Low",Potassium_Low,0.0609,0.5115,1.4389
"Nitrogen_Low, Phosphorus_High",Potassium_Low,0.0686,0.5084,1.4303
Rainfall_Low,Potassium_Low,0.1659,0.5028,1.4144
"Phosphorus_Med, Temperature_Low",Potassium_Low,0.0505,0.5023,1.413
